timestamp_sec,datetime,J1_pos,J2_pos,J3_pos,J4_pos,J5_pos,J6_pos,J1_torque,J2_torque,J3_torque,J4_torque,J5_torque,J6_torque,program_speed,Status
1779842768,46:07.8,-5.753528118,-41.67956924,11.07491016,3.479479074,-98.69629669,-87.59859467,-0.395495743,1.279868126,2.979950666,-0.052183468,1.50782752,-0.546553135,60,Run
1779842769,46:08.8,-5.753528118,-41.67956924,11.07491016,3.479479074,-98.69629669,-87.59859467,-0.038450975,1.235924244,2.944246054,0.087887943,1.403460622,-0.6371876,60,Run
1779842770,46:09.8,-11.72787476,-40.9853096,10.72840691,3.206207037,-98.00801086,-81.69976044,-0.560285628,2.741005182,3.177698374,-0.911837399,-0.895358443,1.318319201,60,Run
1779842771,46:10.8,-18.37174797,-39.6013031,10.05456924,2.86171174,-96.98889923,-75.15377808,-0.565778613,2.235649586,3.260093451,-0.983246386,-0.793738008,1.293600678,60,Run
1779842772,46:11.9,-22.98630333,-38.20933533,9.399528503,2.600242376,-96.11779022,-70.61228943,-0.823949456,2.361988544,3.147486925,-1.11507833,-0.821202993,1.373249054,60,Run
1779842773,46:12.9,-22.98630333,-38.20933533,9.399528503,2.600242376,-96.11779022,-70.61228943,-0.675638556,2.197198629,2.949738979,-0.510848641,-0.475144178,0.815709949,60,Run
1779842774,46:13.9,-22.93671799,-38.22637558,9.407410622,2.603124857,-96.12786865,-70.66107941,1.087613344,0.856907427,2.469101906,-0.08239495,0.109859928,-1.293600678,60,Run
1779842775,46:14.9,-16.69098473,-40.01684952,10.25452137,2.952608109,-97.27249146,-76.80874634,0.6371876,0.972260356,1.680856943,1.941774249,1.444658041,-1.362263083,60,Run
1779842776,46:15.9,-9.944712639,-41.24443054,10.85707664,3.291603804,-98.23573303,-83.45890808,0.620708585,0.966767371,1.628673434,1.971985698,1.623180389,-1.430925608,60,Run
1779842777,46:17.0,-5.304650307,-41.71210861,11.09126091,3.498497725,-98.73944855,-88.04242706,1.071134329,0.812963486,1.694589376,1.886844277,2.210931063,-1.667124391,60,Run
1779842778,46:18.0,2.108944654,-41.86695099,11.16893291,3.779730797,-99.27961731,-95.38739777,0.79648447,2.598187208,2.469101906,1.886844277,2.079099178,-1.268882155,60,Run
1779842779,46:19.0,9.169882774,-41.34337616,10.905509,3.986177921,-99.48701477,-102.4134903,0.472397685,2.52677846,3.08981061,2.051634073,2.287832975,-1.425432563,60,Run
1779842780,46:20.0,15.93609333,-40.18907547,10.33667564,4.123857021,-99.39073944,-109.1788177,0.428453714,2.510299444,3.147486925,2.383960485,-1.452897549,-1.447404504,60,Run
1779842781,46:21.1,21.57427025,-38.67683029,9.615292549,4.191802502,-99.07444,-114.84272,0.593243599,2.52677846,3.155726433,2.194452047,-1.2743752,-1.664377928,60,Run
1779842782,46:22.1,21.58859634,-38.67228699,9.613170624,4.19191885,-99.07335663,-114.857132,0.609722614,2.21917057,2.831639767,1.183740735,-0.480637193,-1.010711312,60,Run
1779842783,46:23.1,21.58859634,-38.67228699,9.613170624,4.19191885,-99.07335663,-114.857132,0.346058786,2.213677645,2.738258839,1.02993679,-0.343312263,-0.804723978,60,Run
1779842784,46:24.1,16.10766792,-40.15084839,10.3181076,4.126377106,-99.38427734,-109.3508453,-0.587750614,0.856907427,1.74127984,-0.634441078,2.392199993,1.384235144,60,Run
1779842785,46:25.1,9.323643684,-41.32448578,10.89607716,3.98978591,-99.48805237,-102.5669098,-0.642680585,1.049162269,1.617687464,-0.557539165,1.494095087,1.419939518,60,Run
1779842786,46:26.2,2.2943995,-41.86164093,11.16623402,3.785742044,-99.28890228,-95.57156372,-0.829442441,0.725075543,1.573743463,-0.447679222,-1.123317719,1.365009665,60,Run
1779842787,46:27.2,-4.824404716,-41.74395752,11.1072731,3.518404007,-98.78427887,-88.51737213,-0.593243599,2.609173298,2.911288023,-0.417467743,-0.983246386,1.551771522,60,Run
